ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2024-10-10 10:21:38 582m





Relative time;Ch1
s;V
-0.0001;-0.0015740285
-9.9995E-5;0.0035415642
-9.999E-5;0
-9.9985E-5;-0.0011805214
-9.998E-5;0.0015740285
-9.9975E-5;0
-9.997E-5;-0.00078701426
-9.9965E-5;0.00078701426
-9.996E-5;-0.0011805214
-9.9955E-5;0
-9.995E-5;0.00039350713
-9.9945E-5;-0.0011805214
-9.994E-5;-0.0011805214
-9.9935E-5;0
-9.993E-5;-0.0019675356
-9.9925E-5;-0.0015740285
-9.992E-5;0.0019675356
-9.9915E-5;0.0011805214
-9.991E-5;-0.003148057
-9.9905E-5;0
-9.99E-5;0.00039350713
-9.9895E-5;0.0011805214
-9.989E-5;-0.00078701426
-9.9885E-5;-0.00039350713
-9.988E-5;0.00078701426
-9.9875E-5;0
-9.987E-5;0
-9.9865E-5;0.00039350713
-9.986E-5;-0.0011805214
-9.9855E-5;0
-9.985E-5;0.00039350713
-9.9845E-5;-0.00078701426
-9.984E-5;-0.0011805214
-9.9835E-5;-0.00039350713
-9.983E-5;-0.0011805214
-9.9825E-5;-0.00039350713
-9.982E-5;-0.0011805214
-9.9815E-5;0
-9.981E-5;-0.00039350713
-9.9805E-5;-0.0011805214
-9.98E-5;0
-9.9795E-5;0.00039350713
-9.979E-5;0.00039350713
-9.9785E-5;0.00039350713
-9.978E-5;-0.00078701426
-9.9775E-5;0.00039350713
-9.977E-5;0
-9.9765E-5;-0.00078701426
-9.976E-5;0.00039350713
-9.9755E-5;-0.00039350713
-9.975E-5;-0.00078701426
-9.9745E-5;-0.00078701426
-9.974E-5;-0.0015740285
-9.9735E-5;-0.00039350713
-9.973E-5;-0.00078701426
-9.9725E-5;-0.00039350713
-9.972E-5;0
-9.9715E-5;-0.0015740285
-9.971E-5;0
-9.9705E-5;0
-9.97E-5;-0.00078701426
-9.9695E-5;0.00039350713
-9.969E-5;0.00039350713
-9.9685E-5;-0.00039350713
-9.968E-5;-0.00078701426
-9.9675E-5;0.00039350713
-9.967E-5;-0.0015740285
-9.9665E-5;0
-9.966E-5;-0.00078701426
-9.9655E-5;-0.0015740285
-9.965E-5;-0.0011805214
-9.9645E-5;0
-9.964E-5;0
-9.9635E-5;-0.0011805214
-9.963E-5;0.00078701426
-9.9625E-5;-0.0011805214
-9.962E-5;-0.0019675356
-9.9615E-5;0.0023610428
-9.961E-5;-0.0011805214
-9.9605E-5;-0.00039350713
-9.96E-5;0
-9.9595E-5;-0.00078701426
-9.959E-5;-0.00039350713
-9.9585E-5;0
-9.958E-5;-0.00078701426
-9.9575E-5;0
-9.957E-5;0
-9.9565E-5;-0.00039350713
-9.956E-5;-0.00078701426
-9.9555E-5;0.00039350713
-9.955E-5;-0.00039350713
-9.9545E-5;-0.00039350713
-9.954E-5;-0.00039350713
-9.9535E-5;0.00039350713
-9.953E-5;-0.00078701426
-9.9525E-5;-0.00078701426
-9.952E-5;-0.0011805214
-9.9515E-5;-0.00039350713
-9.951E-5;-0.00039350713
-9.9505E-5;0
-9.95E-5;-0.00078701426
-9.9495E-5;-0.00078701426
-9.949E-5;-0.00078701426
-9.9485E-5;-0.00039350713
-9.948E-5;-0.00078701426
-9.9475E-5;0.00039350713
-9.947E-5;-0.00039350713
-9.9465E-5;-0.0011805214
-9.946E-5;0
-9.9455E-5;0.00078701426
-9.945E-5;-0.0011805214
-9.9445E-5;0
-9.944E-5;0.00039350713
-9.9435E-5;-0.00039350713
-9.943E-5;0
-9.9425E-5;0
-9.942E-5;-0.00078701426
-9.9415E-5;0
-9.941E-5;-0.0011805214
-9.9405E-5;-0.00039350713
-9.94E-5;0
-9.9395E-5;-0.00078701426
-9.939E-5;-0.00078701426
-9.9385E-5;0
-9.938E-5;-0.0011805214
-9.9375E-5;-0.0011805214
-9.937E-5;-0.00039350713
-9.9365E-5;-0.00078701426
-9.936E-5;-0.00039350713
-9.9355E-5;0
-9.935E-5;-0.0019675356
-9.9345E-5;-0.0015740285
-9.934E-5;0.0015740285
-9.9335E-5;-0.00078701426
-9.933E-5;-0.00039350713
-9.9325E-5;0.0011805214
-9.932E-5;-0.0019675356
-9.9315E-5;-0.00039350713
-9.931E-5;0.00039350713
-9.9305E-5;-0.0015740285
-9.93E-5;-0.00078701426
-9.9295E-5;0.00039350713
-9.929E-5;-0.00039350713
-9.9285E-5;-0.00078701426
-9.928E-5;0
-9.9275E-5;0.00078701426
-9.927E-5;-0.00039350713
-9.9265E-5;0.00039350713
-9.926E-5;0.00078701426
-9.9255E-5;0.0011805214
-9.925E-5;0.0015740285
-9.9245E-5;-0.00078701426
-9.924E-5;-0.0011805214
-9.9235E-5;0.0023610428
-9.923E-5;-0.0035415642
-9.9225E-5;0.0066896212
-9.922E-5;-0.0062961141
-9.9215E-5;-0.0011805214
-9.921E-5;0.0086571568
-9.9205E-5;-0.0039350713
-9.92E-5;-0.0082636497
-9.9195E-5;0.010624692
-9.919E-5;-0.0070831283
-9.9185E-5;-0.00078701426
-9.918E-5;0.0062961141
-9.9175E-5;-0.0047220855
-9.917E-5;-0.0011805214
-9.9165E-5;0.0039350713
-9.916E-5;-0.003148057
-9.9155E-5;0.0011805214
-9.915E-5;0.0011805214
-9.9145E-5;-0.003148057
-9.914E-5;0.0015740285
-9.9135E-5;-0.00078701426
-9.913E-5;-0.0015740285
